contract_id,contract_reg_type_id,contract_reg_type_en,contract_start_date,contract_end_date,contract_amount,annual_amount,no_of_prop,line_number,is_free_hold,ejari_bus_property_type_id,ejari_bus_property_type_en,ejari_property_type_id,ejari_property_type_en,ejari_property_sub_type_id,ejari_property_sub_type_en,property_usage_en,project_number,project_name_en,master_project_en,area_id,area_name_en,actual_area,nearest_landmark_en,nearest_metro_en,nearest_mall_en,tenant_type_id,tenant_type_en
CRT642402346,1,New,06-04-2017,05-04-2018,68000,68000,1,1,1,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,International City Phase 1,343,Al Warsan First,108.0,,Rashidiya Metro Station,City Centre Mirdif,1.0,Person
CRT365114016,2,Renew,16-10-2015,15-10-2016,140000,139625,1,1,0,4,Villa,841.0,Villa,4.0,4 bed rooms+hall,Residential,,,,232,Mirdif,1.0,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,2.0,Authority
CNT2082377991,2,Renew,01-05-2023,30-04-2024,76000,76000,2,2,0,2,Unit,1.0,Shop,421.0,Shop,Commercial,,,,339,Al Mararr,300.0,Dubai International Airport,Palm Deira Metro Stations,Dubai Mall,2.0,Authority
CNT924820642,2,Renew,26-12-2018,25-12-2019,55786,55786,1,1,0,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,,362,Naif,85.0,Dubai International Airport,Baniyas Square Metro Station,Dubai Mall,1.0,Person
CNT1324133875,2,Renew,01-04-2020,31-03-2021,60000,60000,1,1,0,2,Unit,7.0,Warehouse,13.0,Warehouse,Commercial,,,,363,Al Qusais Industrial First,211.0,Dubai International Airport,Airport Free Zone,City Centre Mirdif,2.0,Authority
CNT908386477,1,New,20-01-2019,19-01-2020,100000,100000,1,1,0,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,,244,Al Murqabat,145.0,Dubai International Airport,Al Rigga Metro Station,Dubai Mall,2.0,Authority
CNT1529668308,2,Renew,01-08-2021,31-07-2022,64000,64000,1,2,0,2,Unit,1.0,Shop,421.0,Shop,Commercial,,,,237,Al Sabkha,32.0,Dubai International Airport,Baniyas Square Metro Station,Dubai Mall,2.0,Authority
CNT419969454,2,Renew,02-03-2016,01-03-2017,34000,34000,1,1,0,2,Unit,842.0,Flat,11.0,Studio,Residential,,,,249,Al Muteena,46.0,Dubai International Airport,Abu Baker Al Siddique Metro Station,Dubai Mall,1.0,Person
CRT2015923157,1,New,27-10-2022,26-10-2023,38000,38000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,1401.0,ELITE 8 SPORTS RESIDENCE,Dubai Sports City,435,Al Hebiah Fourth,71.0,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1.0,Person
CNT342492758,2,Renew,01-08-2015,31-07-2016,247000,247000,1,1,0,4,Villa,841.0,Villa,4.0,4 bed rooms+hall,Residential,,,,314,Al Saffa Second,470.0,Burj Al Arab,Noor Bank Metro Station,Mall of the Emirates,2.0,Authority
CRT2090368026,1,New,01-01-2024,31-12-2024,250000,250000,1,1,0,2,Unit,1.0,Shop,421.0,Shop,Commercial,,,,254,Al Buteen,13.0,Dubai International Airport,Al Ras Metro Station,Dubai Mall,2.0,Authority
CRT1402766966,1,New,05-03-2021,04-03-2022,78000,78000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,1405.0,Boulevard Point,Burj Khalifa,390,Burj Khalifa,72.0,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1.0,Person
CNT1155509086,2,Renew,01-02-2020,31-01-2021,30000,30000,1,1,0,2,Unit,2.0,Office,422.0,Office,Commercial,,,,233,Hor Al Anz,55.0,Dubai International Airport,Abu Baker Al Siddique Metro Station,City Centre Mirdif,2.0,Authority
CNT1442957987,1,New,19-04-2021,18-04-2022,54000,54000,1,1,1,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,12.0,LA VISTA 04,Silicon Oasis,484,Nadd Hessa,92.0,IMG World Adventures,,,1.0,Person
CNT346729013,1,New,01-01-2014,31-12-2014,60000000,60000000,149,26,0,2,Unit,2.0,Office,2.0,2 bed rooms+hall,Commercial,,,,341,Trade Center First,139.0,Burj Khalifa,Financial Centre,Dubai Mall,2.0,Authority
CRT1938143911,1,New,01-07-2022,01-07-2023,66000,65823,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,Business Bay,526,Business Bay,78.0,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1.0,Person
CNT1275145037,2,Renew,15-08-2020,14-09-2021,70000,70000,1,1,0,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,,388,Oud Metha,133.0,Dubai International Airport,Oud Metha Metro Station,Dubai Mall,1.0,Person
CRT1043055566,2,Renew,01-08-2018,31-07-2019,105000,105000,1,1,1,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,Dubai Marina,330,Marsa Dubai,160.0,Burj Al Arab,Jumeirah Lakes Towers,Marina Mall,1.0,Person
CNT359249214,1,New,08-10-2015,07-10-2016,90000,90000,1,1,0,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,,368,Al Barsha First,109.0,Burj Al Arab,Sharaf Dg Metro Station,Mall of the Emirates,1.0,Person
CNT2066666743,2,Renew,19-01-2023,18-01-2024,33000,33000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,International City Phase 3,483,Warsan Fourth,70.0,,Rashidiya Metro Station,City Centre Mirdif,1.0,Person
CNT709626961,1,New,15-07-2017,14-07-2018,9216000,9216000,258,55,0,2,Unit,4.0,Labor Camps,12.0,Room in labor Camp,Residential,,,,347,Al Goze Third,15.0,Downtown Dubai,Noor Bank Metro Station,Dubai Mall,2.0,Authority
CNT1344150670,1,New,15-12-2020,14-12-2021,42000,42000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,1546.0,SAFEER TOWER 1,Business Bay,526,Business Bay,80.0,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1.0,Person
CNT2037299714,1,New,25-12-2022,24-12-2023,45000,45000,1,1,1,4,Villa,841.0,Villa,3.0,3 bed rooms+hall,Residential,1767.0,DAMAC HILLS (2) - VARDON ,DAMAC HILLS 2,505,Madinat Hind 4,112.0,,,,1.0,Person
CRT2032132887,2,Renew,20-09-2022,19-09-2023,28000,28000,1,1,1,2,Unit,842.0,Flat,11.0,Studio,Residential,1737.0,CANDACE ACACIA HOTEL APARTMENTS,Al Furjan,445,Jabal Ali First,35.0,Sports City Swimming Academy,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,1.0,Person
