floor,count
2,80972
1,79908
3,70358
4,59306
5,38928
6,32519
G,28200
7,27489
8,23797
9,18693
10,16280
11,14048
12,12976
13,11289
14,10874
15,9824
16,8995
17,8253
18,7752
19,7380
20,6461
21,6163
22,5851
23,5404
24,5013
25,4789
26,4451
27,4304
28,3952
29,3634
30,3286
31,3138
32,2963
33,2723
34,2441
35,2234
36,2024
37,1878
38,1767
39,1535
40,1440
GF,1318
41,1218
42,1135
43,1050
0,1003
44,992
45,865
46,773
47,707
48,650
49,592
50,578
51,515
P,515
52,509
P3,481
54,455
53,450
P2,450
M,431
55,417
56,414
R,398
57,394
58,360
59,356
60,316
61,305
62,303
P1,270
64,263
63,261
LP,248
65,246
66,232
67,224
L1,219
G ,218
L2,211
68,211
L3,203
69,196
P4,154
L4,151
12A,144
P5,137
70,134
72,126
LG,119
73,114
B1,112
71,98
g,95
FF,94
SF,93
UG,89
RF,83
HC,81
1st Floor,70
75,68
14th,64
2nd,64
10th,64
5th,64
3rd,64
12th,64
9th,64
6th,64
4th,64
7th,64
11th,64
8th,64
13th,64
74,59
76,59
P6,57
78,56
77,55
L,54
2F,52
B2,50
II,48
15th,48
16th,48
17th,48
I,48
80,43
 2,41
 1,41
23rd,40
20th,40
21st,40
19th,40
18tg,40
81,40
22nd,40
1F,38
82,38
Ground,37
79,36
P7,36
84,35
1 & 2,33
83,32
D,30
T7,28
T11,28
T6,28
T12,28
T2,28
T14,28
T15,28
T13,28
T10,28
 G,28
T3,28
T8,28
T9,28
T5,28
T4,28
85,27
86,27
 4,26
88,25
 3,24
87,24
89,24
90,24
"9 , 10",23
UP,22
4&5,22
P8,22
P9,21
92,21
93,21
91,21
94,21
T27,20
T29,20
T28,20
25th,20
T25,20
T26,20
24th,20
T22,20
T19,20
T18,20
26th,20
T17,20
T30,20
UP01,20
UP03,19
UP02,19
1LG,19
PH,19
T16,18
T24,16
T1,16
2LG,16
T20,16
UP04,16
T21,16
E,16
T23,16
P10,15
04,14
03,14
05,14
06,14
07,14
09,14
02,14
08,13
97,12
DCK,12
2nd Floor,11
3rd Floor,11
H.C,10
10E,10
TP,10
99,10
