property_id,area_id,zone_id,area_name_en,land_number,land_sub_number,building_number,unit_number,unit_balcony_area,unit_parking_number,parking_allocation_type,parking_allocation_type_en,common_area,actual_common_area,floor,rooms,rooms_en,actual_area,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,parent_property_id,grandparent_property_id,creation_date,munc_zip_code,munc_number,parcel_id,is_free_hold,is_lease_hold,is_registered,pre_registration_number,master_project_id,master_project_en,project_id,project_name_en,land_type_id,land_type_en
1300000003,351.0,2.0,Al Thanyah Third,31.0,0.0,2,207,19.97,"B-63 , B-64",,,,,2,3.0,3 B/R,191.84,3.0,Unit,60.0,Flat,149342.0,87715.0,,388.0,1500.0,3881500.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000004,351.0,2.0,Al Thanyah Third,34.0,0.0,1,G01,13.22,B-27,,,0.4,135.0,G,2.0,2 B/R,126.28,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000005,351.0,2.0,Al Thanyah Third,34.0,0.0,1,G02,96.2,B-28,,,0.74,248.0,G,3.0,3 B/R,231.48,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000006,351.0,2.0,Al Thanyah Third,34.0,0.0,1,G03,106.46,B-29,,,0.77,258.0,G,3.0,3 B/R,240.9,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000007,351.0,2.0,Al Thanyah Third,34.0,0.0,1,G04,29.1,"B-34,B-36",,,0.69,231.0,G,4.0,4 B/R,215.76,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000008,351.0,2.0,Al Thanyah Third,34.0,0.0,1,G05,13.3,B-37,,,0.47,159.0,G,3.0,3 B/R,148.56,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000009,351.0,2.0,Al Thanyah Third,34.0,0.0,1,G06,13.3,"B-30 , B-38",,,0.47,159.0,G,3.0,3 B/R,148.56,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000010,351.0,2.0,Al Thanyah Third,34.0,0.0,1,G07,129.67,"B-55,B-56",,,0.94,316.0,G,3.0,3 B/R,294.15,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000011,351.0,2.0,Al Thanyah Third,34.0,0.0,1,G08,186.3,"B-50,B-51",,,1.12,377.0,G,3.0,3 B/R,351.06,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000012,351.0,2.0,Al Thanyah Third,34.0,0.0,1,G09,13.22,B-52,,,0.41,137.0,G,2.0,2 B/R,127.82,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000013,351.0,2.0,Al Thanyah Third,34.0,0.0,1,101,12.63,B-43,,,0.44,148.0,1,2.0,2 B/R,137.6,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000014,351.0,2.0,Al Thanyah Third,34.0,0.0,1,102,12.63,B-42,,,0.45,151.0,1,3.0,3 B/R,140.86,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000015,351.0,2.0,Al Thanyah Third,34.0,0.0,1,103,12.63,B-41,,,0.45,151.0,1,3.0,3 B/R,140.59,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000016,351.0,2.0,Al Thanyah Third,34.0,0.0,1,104,29.91,"B-39,B-40",,,0.64,215.0,1,4.0,4 B/R,200.08,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000017,351.0,2.0,Al Thanyah Third,34.0,0.0,1,105,12.54,B-54,,,0.45,152.0,1,3.0,3 B/R,142.15,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000018,351.0,2.0,Al Thanyah Third,34.0,0.0,1,106,12.54,B-53,,,0.45,152.0,1,3.0,3 B/R,142.15,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000019,351.0,2.0,Al Thanyah Third,34.0,0.0,1,107,19.97,"B-57,B-58",,,0.55,184.0,1,3.0,3 B/R,171.85,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000020,351.0,2.0,Al Thanyah Third,34.0,0.0,1,108,19.97,"B-59,B-60",,,0.55,185.0,1,3.0,3 B/R,172.35,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000021,351.0,2.0,Al Thanyah Third,34.0,0.0,1,109,12.63,B-61,,,0.44,148.0,1,2.0,2 B/R,138.02,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000022,351.0,2.0,Al Thanyah Third,34.0,0.0,1,110,10.5,B-62,,,0.38,129.0,1,2.0,2 B/R,120.32,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000023,351.0,2.0,Al Thanyah Third,34.0,0.0,1,201,12.63,B-26,,,0.44,148.0,2,2.0,2 B/R,137.6,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000024,351.0,2.0,Al Thanyah Third,34.0,0.0,1,202,12.63,B-25,,,0.45,151.0,2,3.0,3 B/R,140.86,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
1300000025,351.0,2.0,Al Thanyah Third,34.0,0.0,1,203,12.63,B-24,,,0.45,151.0,2,3.0,3 B/R,140.86,3.0,Unit,60.0,Flat,149349.0,87719.0,,388.0,1498.0,3881498.0,1.0,0.0,1.0,,33.0,The Greens,,,1.0,Residential
